architecture,uncertainty_level,selection_rule,threshold,coverage,risk_regret,conditional_ece
Multi-Agent (A0 full),all,confidence_and_non_abort,0.7499999999999999,0.118,0.09207073314128855,0.2149555761938367
Multi-Agent (A0 full),all,confidence_and_non_abort,0.7999999999999999,0.031,0.06987873728836685,0.18260733363467
Multi-Agent (A0 full),all,confidence_and_non_abort,0.85,0.0,,
Multi-Agent (A0 full),all,confidence_and_non_abort,0.8999999999999999,0.0,,
Multi-Agent (A0 full),all,confidence_and_non_abort,0.95,0.0,,
RAG-Monolithic,all,non_abort_only,0.0,0.743,0.18233205863493726,0.36516952465125374
RAG-Monolithic,all,confidence_and_non_abort,0.0,0.743,0.18233205863493726,0.36516952465125374
RAG-Monolithic,all,confidence_and_non_abort,0.049999999999999996,0.743,0.18233205863493726,0.36516952465125374
RAG-Monolithic,all,confidence_and_non_abort,0.09999999999999999,0.743,0.18233205863493726,0.36516952465125374
RAG-Monolithic,all,confidence_and_non_abort,0.15,0.743,0.18233205863493726,0.36516952465125374
RAG-Monolithic,all,confidence_and_non_abort,0.19999999999999998,0.743,0.18233205863493726,0.36516952465125374
RAG-Monolithic,all,confidence_and_non_abort,0.24999999999999997,0.743,0.18233205863493726,0.36516952465125374
RAG-Monolithic,all,confidence_and_non_abort,0.3,0.743,0.18233205863493726,0.36516952465125374
RAG-Monolithic,all,confidence_and_non_abort,0.35,0.743,0.18233205863493726,0.36516952465125374
RAG-Monolithic,all,confidence_and_non_abort,0.39999999999999997,0.743,0.18233205863493726,0.36516952465125374
RAG-Monolithic,all,confidence_and_non_abort,0.44999999999999996,0.743,0.18233205863493726,0.36516952465125374
RAG-Monolithic,all,confidence_and_non_abort,0.49999999999999994,0.743,0.18233205863493726,0.36516952465125374
RAG-Monolithic,all,confidence_and_non_abort,0.5499999999999999,0.742,0.18215704696018467,0.3649221927812738
RAG-Monolithic,all,confidence_and_non_abort,0.6,0.64,0.16837393523687963,0.34317367703254764
RAG-Monolithic,all,confidence_and_non_abort,0.6499999999999999,0.43,0.1425162808155538,0.29228994139392606
RAG-Monolithic,all,confidence_and_non_abort,0.7,0.245,0.13013371641906474,0.2520609079509707
RAG-Monolithic,all,confidence_and_non_abort,0.7499999999999999,0.102,0.12243392800777489,0.21814487619816056
RAG-Monolithic,all,confidence_and_non_abort,0.7999999999999999,0.025,0.07576290844563255,0.18500826913864202
RAG-Monolithic,all,confidence_and_non_abort,0.85,0.0,,
RAG-Monolithic,all,confidence_and_non_abort,0.8999999999999999,0.0,,
RAG-Monolithic,all,confidence_and_non_abort,0.95,0.0,,
Reflexion,all,non_abort_only,0.0,0.715,0.17875529880830077,0.358403872904369
Reflexion,all,confidence_and_non_abort,0.0,0.715,0.17875529880830077,0.358403872904369
